City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
84,San Francisco Del Mar,MX,78.94,overcast clouds,16.2333,-94.65,
85,Camacha,PT,75.96,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
87,Effingham,US,80.83,clear sky,32.3669,-81.3332,Countryside Village
90,Mayskiy,RU,83.61,clear sky,47.6931,40.1025,Dio Lakrua
97,Asau,RO,77.92,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
100,Faanui,PF,77.86,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
105,Matara,LK,78.51,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
112,San Patricio,US,82.89,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
113,Toccoa,US,76.64,overcast clouds,34.5773,-83.3324,Quality Inn
118,Gamba,GA,76.71,few clouds,-2.65,10.0,
122,Riverton,US,76.3,clear sky,40.5219,-111.9391,Ramada by Wyndham Draper
123,Bengkulu,ID,79.66,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
125,Touros,BR,81.5,clear sky,-5.1989,-35.4608,INN NEW HORIZON
131,Vila Franca Do Campo,PT,75.61,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
134,Kazachinskoye,RU,75.45,clear sky,57.6953,93.2761,"Gostinitsa ""Tk Telemaks"""
136,Kavaratti,IN,82.11,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
139,Port Blair,IN,82.47,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
141,Baba Ana,RO,82.67,overcast clouds,44.9667,26.45,Popleaca Anghel Cristian
145,Sorong,ID,78.48,overcast clouds,-0.8833,131.25,waigo splash hotel
147,Oriximina,BR,85.17,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
148,Makakilo City,US,77.32,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
149,Saint-Philippe,RE,76.59,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
150,Bandarbeyla,SO,85.82,broken clouds,9.4942,50.8122,JABIR HOTEL
